,date,value
0,2022-11-07,76.61
1,2022-11-04,76.16
2,2022-11-03,76.18
3,2022-11-02,80.06
4,2022-11-01,81.76
5,2022-10-31,83.8
6,2022-10-28,83.67
7,2022-10-27,85.14
8,2022-10-26,87.0
9,2022-10-25,87.64
10,2022-10-24,87.08
11,2022-10-21,86.03
12,2022-10-20,87.19
13,2022-10-19,86.65
14,2022-10-18,86.87
15,2022-10-17,85.66
16,2022-10-14,84.94
17,2022-10-13,84.47
18,2022-10-12,85.65
19,2022-10-11,85.89
20,2022-10-10,86.52
21,2022-10-07,86.34
22,2022-10-06,86.93
23,2022-10-05,87.25
24,2022-10-04,91.44
25,2022-10-03,88.72
26,2022-09-30,89.45
27,2022-09-29,88.89
28,2022-09-28,89.49
29,2022-09-27,91.26
30,2022-09-26,91.28
31,2022-09-23,91.24
32,2022-09-22,91.9
33,2022-09-21,93.24
34,2022-09-20,93.76
35,2022-09-19,93.42
36,2022-09-16,93.06
37,2022-09-15,94.25
38,2022-09-12,97.53
39,2022-09-09,97.21
40,2022-09-08,96.73
41,2022-09-07,96.06
42,2022-09-06,96.07
43,2022-09-05,96.36
44,2022-09-02,97.4
45,2022-09-01,96.23
46,2022-08-31,96.94
47,2022-08-30,96.75
48,2022-08-29,97.06
49,2022-08-26,98.6
50,2022-08-25,99.24
51,2022-08-24,98.62
52,2022-08-23,98.67
53,2022-08-22,98.73
54,2022-08-19,99.63
